Дата	Количество
01.01.2000	462523
01.02.2000	633208
01.03.2000	660159
01.04.2000	617455
01.05.2000	597354
01.06.2000	793517
01.07.2000	1015944
01.08.2000	1148052
01.09.2000	1156623
01.10.2000	1255021
01.11.2000	1410114
01.12.2000	1357230
01.01.2001	1003317
01.02.2001	1097048
01.03.2001	1498977
01.04.2001	1507696
01.05.2001	1520761
01.06.2001	1602674
01.07.2001	1685899
01.08.2001	1899255
01.09.2001	1716804
01.10.2001	2069772
01.11.2001	2016227
01.12.2001	1817580
01.01.2002	1493788
01.02.2002	1449402
01.03.2002	1734310
01.04.2002	2068457
01.05.2002	1899233
01.06.2002	2083559
01.07.2002	2157181
01.08.2002	2161689
01.09.2002	2315556
01.10.2002	2367611
01.11.2002	2110853
01.12.2002	2297331
01.01.2003	1496683
01.02.2003	1629978
01.03.2003	2475066
01.04.2003	2662780
01.05.2003	1812054
01.06.2003	1963250
01.07.2003	2270090
01.08.2003	2187333
01.09.2003	2329833
01.10.2003	2409688
01.11.2003	1919027
01.12.2003	1851642
01.01.2004	1434352
01.02.2004	1452569
